vehicle,make,model,model_year,component,service_theme,complaint_count,recall_count,priority_score,priority,suggested_owner,sla,recommended_action,evidence_sample
2021 Hyundai Tucson,Hyundai,Tucson,2021,VEHICLE SPEED CONTROL,Driveability / power issue,1,0,20,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"While driving on a major highway, my car went into limp mode topping out at 60 mph then decreasing before going back to 60. My check engine light was also blinking, not solid."
2021 Tesla Model 3,Tesla,Model 3,2021,ENGINE,Driveability / power issue,1,0,20,Low,Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"There was engine power loss while I was driving on the highway. So due to power loss I parked the car on the side and then put it back in to drive and it would go for approximately 10min then I lost power again, it started to do like these few times. Since it was unsafe I stopped the car and had the factory tow it to the shop."
2021 Tesla Model 3,Tesla,Model 3,2021,ENGINE AND ENGINE COOLING,Driveability / power issue,1,0,20,Low,Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,Driving south on the 5 freeway right northing on Oceanside the vehicle shut down at freeway speed. I had to coast of the to the first Oceanside. Fortunately it was late at night and there were no cars in the immediate vicinity. In addition to this the vehicle has had multiple episode of phantom breaking. I do not feel safe driving the car.
2021 Tesla Model 3,Tesla,Model 3,2021,EXTERIOR LIGHTING,Service experience issue,1,0,20,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Front right headlight on a brand new car no longer functions, safety was put at risk by the fact that it is illegal to drive on 1 working light in the dark and rain; and this happened thankfully before leaving home on a dark morning so it was detectable and actionable. Problem was confirmed by remote diagnostic from dealer. No warnings or messages before failure which was confirmed by Tesla representative on the phone. They have not inspected the component and will not return calls / have not responded to service scheduling for 3 days. There is no service possible when they have a monopoly on "
2021 Tesla Model 3,Tesla,Model 3,2021,FUEL,Service experience issue,1,0,20,Low,Safety & Compliance + Parts Planning,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Vehicle displayed ""no capable drive units"" error at 106 miles on 10/08/2021. System shut down and stranded me in downtown Tampa traffic less than a mile from my home and fewer than five minutes after I started the car. All propulsion was lost and I did not have sufficient warning or time to process the situation and safely handle the vehicle. Tesla Tampa Service Center diagnosed a failed drive unit and took approximately 27 days to repair the vehicle. The service center invoice described the drive unit replacement as a goodwill repair and not a warranty failure. This seemed odd to me as goodwi"
2021 Tesla Model 3,Tesla,Model 3,2021,SUSPENSION,Electrical / software issue,1,0,20,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact owns a 2021 Tesla Model 3. The contact stated while driving at an undisclosed speed the contact noticed a knocking sound coming from the suspension with no warning lights illuminated. The vehicle was taken to the dealer where the vehicle was diagnosed as the front suspension lateral link separated. The contact was informed that the front suspension lateral link needed to be replaced. The vehicle was not repaired. The manufacturer was not made aware of the failure. The failure mileage was approximately 51,543."
2021 Tesla Model 3,Tesla,Model 3,2021,WHEELS,General vehicle issue,1,0,20,Low,Dealer Service,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The tire fell off the car while driving. The lateral link bolts have come unfastened and cause the link to come out of place and consequently damage several suspension components. As the bolts unfastened, the wheel was separated from the car and fell off, causing the car to be undrivable."
2021 Tesla Model 3,Tesla,Model 3,2021,WHEELS,Service experience issue,1,0,20,Low,Dealer Service,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The TPMS alerted me that the front driver tire was low at 36 psi. Pulled into gas station within a mile from initial alert and when I unscrewed the valve cap the valve stem broke and shot out of the tire and the tire deflated. The components were found and are available for inspection. The car has not been repaired yet and is currently at the Tesla Service Center in Agoura Hills at 28721 Bldg A Canwood Street Agoura Hills, CA. I drive two children under 5 and am lucky this did not occur at high speeds or while the vehicle was in operation at any speed. There is no reason this should have happe"
2021 Toyota Camry,Toyota,Camry,2021,BACK OVER PREVENTION,Electrical / software issue,1,0,20,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The rear camera has stopped working. It started working intermittently approximately 6 months ago and now it does not work at all. The warning light saying that it was not available would come on when it first started having a problem but that stopped when it stopped working completely. It will show rear cross traffic alert at times but no picture and not every time there is traffic. It has been inspected for any sign of damage to camera wiring, none found"
2021 Toyota Camry,Toyota,Camry,2021,EXTERIOR LIGHTING,Driveability / power issue,1,0,20,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"1. Driving on the highway with adaptive cruise control feels like taming a wild horse. Pulls side to side, even after alignment and total check up from Toyota. 2. Engine Maintenace required now warning light. This came on at 106,458 miles on Toyota Camry 21 LE. Randomly turned on. Off when air con was turned off, light came back on when air con was turned on. Took to Toyota dealership, repaired at no cost, Coolant bypass valve circuit short to battery or open, known concern by Toyota. DTC p268115 Confirmed and repaired at no cost, customer care warranty. 3. Headlights full of water, condensati"
2021 Toyota Camry,Toyota,Camry,2021,EXTERIOR LIGHTING,Service experience issue,1,0,20,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The passenger side headlight is retaining moisture. Upon further inspection the retaining clips have pulled away and cracked. This causes the headlight to flicker from the moisture inside. Brought the vehicle into Clearwater Toyota in Clearwater, FL and warranty repair was refused with the service manager stating that I was in an accident. I wasn't. Was not repaired by dealer. Opened a claim with Insurance company. Body shop states that it appears to be a manufacturer issue as the screw securing the retaining clip is pushing through the plastic causing it to break."
